id,student_id,course_id,enrollment_date,grade,attendance_percentage
ce66dc8b-abbb-4952-9e87-b16ffd75cc8f,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,bbefba6f-a13e-4f19-9b23-67c75ac687f3,2024-08-01,C,90
6b5685df-3155-469d-af29-584717e3e3ff,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,0d5d4f29-eb37-4790-a415-90578c6ae8e0,2024-08-01,A,81
b92ca8c7-011b-4a70-8305-7a797446ece2,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,3144d5f3-36e6-4385-bb87-e3cd1f4c51a7,2024-08-01,B+,81
85e1bab6-f3c0-4fe1-aaf6-69200ef9b988,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,a7887873-39a5-4288-bae6-349e9d25d596,2024-08-01,A+,93
ed0f7c1c-c7a9-418f-a5d2-487094a27754,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,35a6fb08-d06d-4d72-929f-603605ad0a04,2024-08-01,C,92
b5c9658f-3fd6-40d8-84d9-82f308779755,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,b20e386c-6e86-4736-9f78-01b8c0d32901,2024-08-01,A+,85
a92dbed4-6e5e-490a-9e86-3047dd9de92a,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,fe5c7118-b600-4fe7-af39-6d88e82c6ff5,2024-08-01,A+,76
95790880-09f2-4f5f-aa20-057901088b1c,fabf1f3c-8d99-41df-9a66-64c286cc8aaf,9c686095-d2fd-4028-b8f2-82ecbe930630,2024-08-01,C+,90
7b0db76e-ee5d-4c66-900b-f86d7234794f,041b4706-b759-47cc-9a56-4d315ef2de53,bbefba6f-a13e-4f19-9b23-67c75ac687f3,2024-08-01,C+,91
55d1fcf2-795d-4a4a-80a4-5a698b930701,041b4706-b759-47cc-9a56-4d315ef2de53,0d5d4f29-eb37-4790-a415-90578c6ae8e0,2024-08-01,A,76
bffc0a36-2919-4e23-9308-e8240ea41d78,041b4706-b759-47cc-9a56-4d315ef2de53,3144d5f3-36e6-4385-bb87-e3cd1f4c51a7,2024-08-01,C+,77
65cc531b-2fd8-456e-8d38-4145166f9652,041b4706-b759-47cc-9a56-4d315ef2de53,a7887873-39a5-4288-bae6-349e9d25d596,2024-08-01,,80
a9300859-bd1f-4606-995d-346a0392bf6a,041b4706-b759-47cc-9a56-4d315ef2de53,35a6fb08-d06d-4d72-929f-603605ad0a04,2024-08-01,A+,94
6a431a71-8c14-4c5f-a39a-6db303527305,041b4706-b759-47cc-9a56-4d315ef2de53,b20e386c-6e86-4736-9f78-01b8c0d32901,2024-08-01,A+,82
a9bc723a-29e5-44bc-98ad-8f062899693f,041b4706-b759-47cc-9a56-4d315ef2de53,fe5c7118-b600-4fe7-af39-6d88e82c6ff5,2024-08-01,B,78
c6cc50c3-17fb-4ca8-b3b5-c40acf83e520,041b4706-b759-47cc-9a56-4d315ef2de53,9c686095-d2fd-4028-b8f2-82ecbe930630,2024-08-01,C+,82
4d34011d-89af-4252-bca0-939d242a58a1,2544c083-b50d-47fb-b5a7-5e6520085761,bbefba6f-a13e-4f19-9b23-67c75ac687f3,2024-08-01,C+,94
68c390e2-2cc2-434d-aa6d-e0103ba4893a,2544c083-b50d-47fb-b5a7-5e6520085761,0d5d4f29-eb37-4790-a415-90578c6ae8e0,2024-08-01,A+,94
8d63a593-b768-4bc1-8977-34a537259235,2544c083-b50d-47fb-b5a7-5e6520085761,3144d5f3-36e6-4385-bb87-e3cd1f4c51a7,2024-08-01,A+,88
ccbeb560-0827-4a55-9930-ad1d47efe3e7,2544c083-b50d-47fb-b5a7-5e6520085761,a7887873-39a5-4288-bae6-349e9d25d596,2024-08-01,C,93
c86943e1-efe2-4e8c-bb2d-4e47d333f9d4,2544c083-b50d-47fb-b5a7-5e6520085761,35a6fb08-d06d-4d72-929f-603605ad0a04,2024-08-01,C+,91
ba697333-a62e-46bb-b939-8910b2f1e988,2544c083-b50d-47fb-b5a7-5e6520085761,b20e386c-6e86-4736-9f78-01b8c0d32901,2024-08-01,B+,83
8a437b7a-61d4-4e4f-8e03-3120f149eb2f,2544c083-b50d-47fb-b5a7-5e6520085761,fe5c7118-b600-4fe7-af39-6d88e82c6ff5,2024-08-01,A,85
